ID,State,City,Locality,Property_Type,BHK,Size_in_SqFt,Price_in_Lakhs,Price_per_SqFt,Year_Built,Furnished_Status,Floor_No,Total_Floors,Age_of_Property,Nearby_Schools,Nearby_Hospitals,Public_Transport_Accessibility,Parking_Space,Security,Amenities,Facing,Owner_Type,Availability_Status
686,Tamil Nadu,Chennai,Velachery,Apartment,2,631,37.76,5984.16,1994,Fully Furnished,23,41,30,9,,4,0,CCTV,"Gym, Playground",East,Agent,Under Construction
687,Maharashtra,Nagpur,Hingna,Villa,2,575,22.46,3905.88,2010,Unfurnished,3,8,14,7,0,5,1,CCTV,None,North,Builder,Under Construction
688,Telangana,Hyderabad,Madhapur,Apartment,3,1277,89.28,6991.28,1993,Semi Furnished,9,18,31,8,2,4,1,Gated Community,Playground,West,Agent,Sold
689,Rajasthan,Jaipur,Vaishali Nagar,Apartment,3,1141,36.58,3206.14,2009,Fully Furnished,2,18,15,2,4,5,2,Gated Community,"Library, Gym, Clubhouse, Swimming Pool, Playground, Garden",West,Builder,Available
690,Madhya Pradesh,Indore,Rau,Apartment,2,952,22.67,2380.93,2008,Semi Furnished,4,21,16,1,2,4,0,CCTV,"Swimming Pool, Garden, Library, Playground",South-West,Builder,Sold
691,Punjab,Chandigarh,Sector 34,House,2,584,27.98,4791.33,2013,Unfurnished,20,36,11,9,5,9,0,CCTV,Garden,North-East,Individual,Available
692,Karnataka,Bangalore,Koramangala,Apartment,1,464,26.28,5663.76,2009,Fully Furnished,12,16,15,9,7,1,1,Security Guard,"Clubhouse, Library, Garden, Gym",South-West,Builder,Available
693,Punjab,Chandigarh,Sector 34,House,1,393,19.66,5003.12,2017,Unfurnished,19,28,7,6,0,3,0,Gated Community,Garden,North,Builder,Available
694,Maharashtra,Pune,Wakad,House,3,1107,77.91,7037.97,2013,Fully Furnished,21,22,11,7,4,7,1,CCTV,"Library, Gym, Playground, Swimming Pool, Clubhouse",North-West,Individual,Available
695,Punjab,Chandigarh,Sector 22,House,3,1118,48.23,4313.77,2009,Semi Furnished,4,21,15,8,7,6,3,CCTV,"Playground, Clubhouse, Swimming Pool, Library, Gym, Garden",North-West,Builder,Available
696,Uttar Pradesh,Noida,Sector 137,Apartment,2,815,47.11,5780.35,2013,Semi Furnished,1,20,11,0,6,8,2,CCTV,"Gym, Playground, Garden",North-West,Builder,Available
697,Uttar Pradesh,Noida,Sector 137,Apartment,4,1595,112.46,7050.57,1995,Semi Furnished,15,34,29,0,6,6,3,Gated Community,"Playground, Garden, Swimming Pool",East,Builder,Under Construction
698,Madhya Pradesh,Bhopal,MP Nagar,Penthouse,3,1066,47.06,4414.66,2014,Unfurnished,6,15,10,0,6,8,0,Security Guard,"Clubhouse, Library, Gym",North-West,Agent,Available
699,Gujarat,Ahmedabad,Satellite,House,2,877,31.41,3581.03,2021,Unfurnished,8,24,3,3,0,1,3,CCTV,"Garden, Library, Playground, Gym, Clubhouse",North,Builder,Sold
700,Tamil Nadu,Chennai,Anna Nagar,House,2,980,54.75,5587.1,2006,Semi Furnished,1,17,18,2,5,9,1,CCTV,"Garden, Clubhouse, Swimming Pool, Gym",West,Individual,Available
701,Telangana,Hyderabad,Madhapur,Apartment,4,1563,95.42,6105.16,2006,Fully Furnished,27,44,18,6,6,5,2,Gated Community,"Library, Swimming Pool",North-West,Builder,Under Construction
702,Karnataka,Mysore,Hebbal,Apartment,3,1287,77.57,6027.48,1994,Unfurnished,27,46,30,5,2,2,3,Security Guard,"Swimming Pool, Clubhouse, Library",North,Builder,Available
703,Delhi,Delhi,Rohini,House,1,376,20.32,5403.24,2006,Semi Furnished,25,27,18,2,3,1,2,Security Guard,"Garden, Library, Clubhouse",South,Individual,Sold
704,Maharashtra,Pune,Viman Nagar,Apartment,3,1561,123.2,7892.61,1998,Unfurnished,1,1,26,2,5,4,1,CCTV,"Library, Swimming Pool, Playground, Garden",West,Individual,Available
705,Rajasthan,Jaipur,Vaishali Nagar,Villa,2,802,29.71,3704.43,2009,Semi Furnished,17,24,15,4,5,8,2,CCTV,"Gym, Library, Playground, Clubhouse, Garden, Swimming Pool",South,Individual,Sold
706,Delhi,Delhi,Pitampura,Apartment,3,1305,97.14,7443.45,1991,Fully Furnished,27,43,33,3,5,3,2,Gated Community,"Swimming Pool, Gym",East,Individual,Under Construction
707,Karnataka,Mysore,Kuvempunagar,Apartment,4,1775,81.93,4615.72,2008,Unfurnished,22,24,16,8,1,4,1,Gated Community,"Clubhouse, Garden, Library, Swimming Pool, Playground",East,Agent,Available
708,Maharashtra,Mumbai,Juhu,Apartment,3,1103,183.62,16647.29,1998,Semi Furnished,12,14,26,0,5,2,0,None,None,South,Agent,Available
709,Delhi,Delhi,Dwarka,Apartment,3,1305,78.68,6029.31,2008,Fully Furnished,5,22,16,0,6,2,3,Gated Community,"Gym, Swimming Pool, Library",North-West,Builder,Available
710,Delhi,Delhi,Vasant Kunj,Apartment,1,529,39.81,7526.27,1993,Fully Furnished,3,19,31,4,3,2,0,CCTV,"Garden, Library, Playground, Gym, Clubhouse",East,Agent,Sold
711,Kerala,Kochi,Marine Drive,Villa,3,1264,70.17,5551.71,1995,Unfurnished,28,40,29,7,6,1,3,CCTV,"Garden, Clubhouse, Swimming Pool, Playground, Library, Gym",South-West,Individual,Available
712,Karnataka,Bangalore,HSR Layout,Apartment,3,1314,75.3,5730.62,2000,Unfurnished,,42,24,3,5,5,2,CCTV,"Swimming Pool, Gym, Garden, Clubhouse, Library",South,Individual,Under Construction
713,West Bengal,Kolkata,Behala,Apartment,3,1102,67.73,6146.01,2010,Fully Furnished,1,15,14,8,3,5,1,CCTV,Clubhouse,North-West,Individual,Available
714,Telangana,Hyderabad,Madhapur,Studio,3,1522,79.93,5251.5,2014,Fully Furnished,29,46,10,6,0,3,0,CCTV,Playground,North-East,Individual,Available
715,Maharashtra,Nagpur,Dharampeth,Apartment,4,1240,65.9,5314.81,2019,Fully Furnished,29,39,5,2,0,3,3,Gated Community,Garden,South-East,Builder,Sold
716,Uttar Pradesh,Noida,Sector 137,Apartment,2,673,33.15,4926.2,2007,Semi Furnished,29,38,17,5,1,8,3,Gated Community,"Library, Swimming Pool, Playground, Garden, Gym",East,Builder,Available
717,Karnataka,Mysore,Kuvempunagar,House,1,300,10.0,2394.8,2014,Unfurnished,5,13,10,5,6,7,0,Gated Community,"Library, Garden",West,Builder,Available
718,Karnataka,Bangalore,Indiranagar,Studio,3,1458,148.72,10200.5,2010,Fully Furnished,12,30,14,4,3,4,2,CCTV,"Playground, Swimming Pool",South,Agent,Available
719,Delhi,Delhi,Dwarka,Apartment,4,1580,118.72,7514.1,2012,Unfurnished,26,33,12,7,7,8,2,None,Clubhouse,North-East,Builder,Under Construction
720,Maharashtra,Pune,Wakad,Apartment,4,1458,96.25,6601.18,2019,Fully Furnished,0,15,5,0,6,9,0,CCTV,"Library, Playground, Garden",South-West,Builder,Under Construction
721,West Bengal,Kolkata,Alipore,Villa,3,1109,51.65,4657.49,2007,,20,27,17,9,5,6,1,CCTV,"Swimming Pool, Gym, Garden",,Individual,Under Construction
722,Karnataka,Bangalore,Koramangala,Apartment,4,1371,105.62,7703.79,2022,Fully Furnished,23,39,2,3,4,7,1,CCTV,Playground,East,Builder,Under Construction
723,Punjab,Chandigarh,Sector 34,House,3,1294,74.06,5723.39,2011,Semi Furnished,0,5,13,6,0,7,3,None,None,South-East,Individual,Available
724,Delhi,Delhi,Rohini,Penthouse,1,509,48.63,9554.67,2013,Semi Furnished,1,15,11,5,5,5,2,CCTV,"Gym, Clubhouse, Library, Swimming Pool",South,Builder,Sold
725,Madhya Pradesh,Bhopal,Kolar Road,Studio,3,1245,27.13,2179.0,2012,Unfurnished,16,18,12,6,3,4,3,Security Guard,Library,South,Builder,Available
726,Delhi,Delhi,Vasant Kunj,Apartment,2,692,56.76,8202.24,1990,Fully Furnished,26,45,34,2,2,2,0,Security Guard,"Clubhouse, Library, Garden, Swimming Pool",West,Builder,Available
727,Maharashtra,Pune,Hinjewadi,Apartment,2,1028,79.23,7707.42,2004,Fully Furnished,13,13,20,2,5,1,3,CCTV,"Clubhouse, Swimming Pool",North-West,Builder,Available
728,Punjab,Chandigarh,Sector 22,Studio,2,917,48.07,5242.59,2017,Fully Furnished,19,23,7,0,7,8,0,Security Guard,Clubhouse,North-East,Individual,Available
729,West Bengal,Kolkata,Salt Lake,Apartment,2,538,28.33,5265.23,2009,Semi Furnished,8,25,15,6,6,2,2,CCTV,"Gym, Clubhouse, Swimming Pool, Library, Garden",South-West,Builder,Sold
730,Uttar Pradesh,Noida,Sector 137,Apartment,2,770,50.42,6548.46,2005,Unfurnished,19,24,19,3,7,8,2,Security Guard,"Clubhouse, Swimming Pool, Garden, Playground, Gym, Library",South-East,Builder,Available
731,Rajasthan,Jaipur,C-Scheme,House,2,626,18.13,2896.04,1994,Semi Furnished,22,35,30,8,7,9,0,None,"Playground, Swimming Pool",South,Agent,Available
732,Gujarat,Ahmedabad,Prahlad Nagar,Apartment,2,1020,47.28,4635.68,2004,Semi Furnished,11,23,20,4,0,4,1,None,"Gym, Garden, Library, Playground",North,Individual,Available
733,Karnataka,Mysore,Nazarbad,Apartment,1,332,14.88,4480.6,1991,Unfurnished,4,9,33,4,1,1,2,Gated Community,"Clubhouse, Garden, Gym, Library, Playground",West,Individual,Under Construction
734,Delhi,Delhi,Saket,House,3,993,97.57,9825.57,2013,Semi Furnished,24,24,11,8,3,6,3,CCTV,"Clubhouse, Swimming Pool, Garden, Library, Playground, Gym",West,Builder,Available
735,Karnataka,Bangalore,Koramangala,Apartment,3,1178,84.41,7165.42,2002,Semi Furnished,29,47,22,0,0,8,1,Gated Community,"Garden, Playground, Clubhouse, Library, Swimming Pool",South,Agent,Available
736,Maharashtra,Mumbai,Powai,Apartment,4,1838,212.82,11578.68,2012,Semi Furnished,20,34,12,5,1,1,3,Security Guard,"Library, Swimming Pool, Clubhouse, Playground, Garden",North-West,Agent,Available
737,Madhya Pradesh,Bhopal,MP Nagar,Apartment,4,1729,66.37,3838.57,2001,Unfurnished,5,15,23,7,1,5,1,Security Guard,Library,East,Builder,Under Construction
738,Gujarat,Ahmedabad,Satellite,Villa,2,721,29.11,4037.19,2022,Unfurnished,5,23,2,0,2,1,0,CCTV,"Garden, Clubhouse, Playground, Gym, Swimming Pool",South-West,Builder,Under Construction
739,Punjab,Chandigarh,Sector 22,Apartment,3,1173,72.25,6159.36,2014,Semi Furnished,16,27,10,9,1,7,1,CCTV,"Clubhouse, Library, Garden",West,Builder,Available
740,Maharashtra,Mumbai,Andheri,Apartment,2,949,121.94,12849.73,1990,Unfurnished,14,14,34,8,0,6,3,Gated Community,"Garden, Clubhouse, Library, Playground, Gym, Swimming Pool",South-West,Individual,Available
741,Uttar Pradesh,Lucknow,Indiranagar,Villa,1,609,24.74,4063.1,1993,Semi Furnished,18,33,31,7,0,4,3,None,"Library, Playground, Swimming Pool, Garden",South-East,Agent,Available
742,Delhi,Delhi,Saket,House,3,967,104.31,10787.08,2020,Unfurnished,26,40,4,5,5,8,1,Security Guard,"Swimming Pool, Garden",East,Builder,Under Construction
743,Karnataka,Mysore,Hebbal,Apartment,3,1223,42.54,3478.24,2017,Unfurnished,28,46,7,8,4,8,0,CCTV,None,South-East,Individual,Under Construction
744,West Bengal,Kolkata,New Town,House,3,1146,79.52,6939.22,2000,Unfurnished,17,20,24,2,3,2,2,Gated Community,"Playground, Library",South,Builder,Available
745,Karnataka,Bangalore,Whitefield,Apartment,3,1126,68.58,6090.71,2021,Unfurnished,22,26,3,3,3,5,3,None,"Clubhouse, Garden, Library, Playground, Gym, Swimming Pool",North-East,Individual,Available
746,Rajasthan,Jaipur,Vaishali Nagar,Villa,2,1001,44.41,4436.72,1991,Unfurnished,,34,33,2,2,1,1,Gated Community,"Garden, Swimming Pool, Library, Gym",East,Agent,Sold
747,West Bengal,Kolkata,Alipore,Apartment,4,1396,75.98,5442.73,2002,Semi Furnished,11,28,22,4,3,3,3,CCTV,Clubhouse,East,Builder,Available
748,Maharashtra,Nagpur,Dharampeth,Apartment,3,1320,52.41,3970.6,2006,Unfurnished,8,19,18,0,1,3,3,None,"Gym, Garden, Swimming Pool, Library, Clubhouse, Playground",West,Builder,Available
749,Maharashtra,Mumbai,Dadar,House,3,857,164.61,19207.32,1993,Unfurnished,18,23,31,,7,3,3,CCTV,"Gym, Library",East,Individual,Under Construction
750,Delhi,Delhi,Rohini,Apartment,3,1091,105.69,9687.34,2020,Unfurnished,6,6,4,1,6,3,2,CCTV,"Swimming Pool, Clubhouse, Playground",North-East,Individual,Under Construction
751,Madhya Pradesh,Indore,Palasia,Apartment,2,805,22.45,2788.85,1992,Unfurnished,14,23,32,0,0,2,0,CCTV,Playground,North-East,Individual,Sold
752,Tamil Nadu,Chennai,Adyar,Apartment,1,300,14.66,4886.9,2001,Semi Furnished,4,14,23,2,1,7,3,CCTV,"Playground, Gym, Garden, Clubhouse, Swimming Pool",North,Builder,Sold
753,Karnataka,Mysore,Saraswathipuram,Villa,2,1130,51.53,4560.38,2007,Semi Furnished,1,1,17,1,6,7,0,Gated Community,"Clubhouse, Garden",East,Individual,Available
754,Tamil Nadu,Chennai,Porur,Apartment,1,300,19.3,6434.22,2019,Semi Furnished,16,31,5,9,3,4,0,Gated Community,"Playground, Gym, Swimming Pool, Library, Clubhouse, Garden",West,Individual,Available
755,Gujarat,Ahmedabad,Motera,Apartment,2,680,35.28,5187.87,2000,Fully Furnished,10,13,24,6,5,8,3,Gated Community,Library,South-West,Agent,Available
756,Maharashtra,Pune,Kothrud,Apartment,2,695,43.47,6255.06,2013,Semi Furnished,25,33,11,7,5,8,0,None,"Clubhouse, Playground, Swimming Pool, Garden",South,Builder,Under Construction
757,Rajasthan,Jaipur,Mansarovar,Apartment,4,1687,72.01,4268.5,2010,Semi Furnished,9,27,14,1,4,4,3,None,"Library, Garden, Gym, Clubhouse",East,Individual,Under Construction
758,Uttar Pradesh,Noida,Sector 78,Apartment,4,1736,148.04,8527.87,1993,Fully Furnished,20,39,31,3,7,6,3,Security Guard,"Library, Swimming Pool",South,Builder,Available
759,Maharashtra,Pune,Hinjewadi,Apartment,3,1134,91.66,8083.03,2015,Fully Furnished,28,38,9,7,7,6,3,CCTV,None,North-East,Builder,Available
760,Maharashtra,Mumbai,Dadar,Apartment,1,447,60.17,13460.74,1997,,18,29,27,9,3,5,3,CCTV,"Clubhouse, Garden, Playground, Gym",North-East,Builder,Available
761,Karnataka,Mysore,Vijayanagar,Apartment,2,859,36.3,4225.84,2013,Fully Furnished,14,18,11,0,7,4,0,CCTV,Playground,North-East,Builder,Under Construction
762,Telangana,Hyderabad,Kukatpally,House,3,983,51.16,5204.72,2001,Semi Furnished,28,41,23,7,2,9,2,None,Clubhouse,North,Individual,Under Construction
763,Madhya Pradesh,Bhopal,Arera Colony,House,2,782,23.49,3004.17,1994,Semi Furnished,6,21,30,7,0,6,2,CCTV,"Garden, Playground, Swimming Pool, Library, Clubhouse",South-West,Individual,Under Construction
764,Telangana,Hyderabad,Banjara Hills,House,3,1105,63.51,5747.81,2005,Fully Furnished,8,19,19,,1,7,0,Security Guard,None,North-West,Individual,Sold
765,West Bengal,Kolkata,Rajarhat,Apartment,4,1366,72.55,5311.45,2021,,3,9,3,2,3,5,1,Gated Community,None,West,Builder,Available
766,Punjab,Chandigarh,Mohali,Penthouse,2,831,51.88,6242.63,2018,Fully Furnished,8,27,6,8,0,2,0,None,"Playground, Library, Clubhouse",North,Builder,Available
767,Delhi,Delhi,Rohini,Apartment,3,1352,94.7,7004.07,2022,Fully Furnished,21,34,2,9,5,6,0,Gated Community,Library,South,Builder,Under Construction
768,Maharashtra,Nagpur,Sitabuldi,Penthouse,2,806,29.57,3668.38,2003,,0,17,21,4,7,3,1,Security Guard,"Playground, Swimming Pool, Gym",North-East,Builder,Available
769,Madhya Pradesh,Bhopal,Kolar Road,Apartment,3,814,23.12,2840.68,2014,Unfurnished,25,31,10,6,1,6,3,CCTV,None,South-West,Agent,Under Construction
770,Karnataka,Mysore,Nazarbad,Apartment,1,331,13.52,4085.31,1997,Fully Furnished,6,10,27,4,3,3,1,Security Guard,None,North-East,Builder,Available
771,Gujarat,Ahmedabad,Satellite,Apartment,2,665,37.2,5594.33,2016,Unfurnished,26,31,8,9,3,8,0,None,"Swimming Pool, Gym, Garden, Playground",,Builder,Under Construction
772,Madhya Pradesh,Indore,Rau,Apartment,3,1466,63.72,4346.39,2011,Fully Furnished,15,24,13,1,5,7,3,CCTV,"Garden, Gym, Library, Playground, Swimming Pool",South-West,Builder,Available
773,Uttar Pradesh,Lucknow,Aliganj,House,3,1149,44.76,3895.3,1996,Semi Furnished,2,21,28,1,3,1,0,None,None,East,Builder,Available
774,West Bengal,Kolkata,Rajarhat,House,3,957,60.51,6322.95,2001,Semi Furnished,1,2,23,0,2,4,1,Gated Community,"Swimming Pool, Garden, Gym, Clubhouse",South,Individual,Sold
775,Telangana,Hyderabad,Gachibowli,Penthouse,3,1193,89.01,7460.73,1998,Unfurnished,0,1,26,5,2,2,1,None,Garden,North-West,Builder,Available
776,Maharashtra,Pune,Hinjewadi,Villa,3,1295,83.09,6416.25,2008,Semi Furnished,24,40,16,6,1,6,0,CCTV,None,North,Agent,Available
777,Gujarat,Ahmedabad,Bopal,Apartment,3,1214,40.47,3333.61,2017,Semi Furnished,3,11,7,4,7,5,3,CCTV,"Swimming Pool, Clubhouse, Gym, Playground",North,Individual,Under Construction
778,Maharashtra,Nagpur,Hingna,Apartment,5,1879,104.5,5561.52,2018,Unfurnished,19,31,6,2,1,2,0,CCTV,Playground,South-West,Individual,Sold
779,Maharashtra,Nagpur,Sitabuldi,Penthouse,4,1531,52.29,3415.17,1997,Fully Furnished,18,26,27,9,0,1,1,Gated Community,Garden,East,Builder,Available
780,Maharashtra,Mumbai,Bandra,Villa,3,1314,166.74,12689.6,2016,Fully Furnished,0,11,8,9,4,7,3,Security Guard,"Gym, Clubhouse",North-East,Individual,Under Construction
781,Uttar Pradesh,Noida,Sector 18,House,3,1215,68.07,5602.52,1994,Semi Furnished,29,42,30,8,0,9,0,CCTV,Library,East,Individual,Under Construction
782,Uttar Pradesh,Noida,Sector 78,Apartment,3,1503,79.18,5267.9,2018,Semi Furnished,3,17,6,7,7,9,2,Security Guard,Garden,West,Builder,Under Construction
783,West Bengal,Kolkata,Rajarhat,Apartment,2,814,32.09,3942.46,2022,Unfurnished,14,21,2,1,5,3,0,None,"Clubhouse, Gym, Swimming Pool, Playground, Garden, Library",North,Agent,Available
784,Telangana,Hyderabad,Gachibowli,Studio,2,570,33.67,5906.29,2021,Semi Furnished,9,20,3,2,4,6,3,Gated Community,"Swimming Pool, Garden, Gym, Clubhouse, Library, Playground",South,Builder,Sold
785,Karnataka,Mysore,Nazarbad,Apartment,4,1570,71.2,4535.18,2010,Fully Furnished,0,11,14,6,3,1,1,Security Guard,"Clubhouse, Garden, Library",East,Builder,Available
786,Uttar Pradesh,Lucknow,Mahanagar,Apartment,3,1115,45.39,4071.14,1999,Semi Furnished,23,23,25,8,3,1,2,Gated Community,"Swimming Pool, Clubhouse, Gym, Library, Garden, Playground",South-East,Individual,Under Construction
787,Maharashtra,Nagpur,Sadar,Apartment,3,967,39.42,4076.31,2005,Fully Furnished,21,34,19,1,0,6,3,Security Guard,None,South,Builder,Available
788,Karnataka,Mysore,Saraswathipuram,House,2,819,36.39,4443.12,2000,Fully Furnished,12,29,24,9,6,6,0,CCTV,"Garden, Swimming Pool, Clubhouse",North-West,Builder,Available
789,Karnataka,Mysore,Saraswathipuram,Apartment,1,337,12.8,3799.65,2008,Fully Furnished,11,14,16,6,,5,3,Security Guard,None,South-East,Individual,Available
790,Uttar Pradesh,Lucknow,Gomti Nagar,Apartment,2,822,30.49,3709.37,2002,Fully Furnished,17,24,22,7,2,6,1,Security Guard,"Swimming Pool, Playground, Gym",South,Agent,Available
791,Karnataka,Bangalore,HSR Layout,Apartment,2,1074,74.53,6939.8,2004,Semi Furnished,1,8,20,5,2,5,2,Gated Community,"Garden, Playground, Gym, Library, Clubhouse, Swimming Pool",South-East,Individual,Available
792,Rajasthan,Jaipur,Mansarovar,Apartment,3,1180,49.34,4181.54,2021,Fully Furnished,12,15,3,5,1,6,1,None,"Gym, Library, Clubhouse, Garden, Swimming Pool, Playground",West,Agent,Available
793,Tamil Nadu,Chennai,Porur,Apartment,4,1753,98.14,5598.31,2008,Semi Furnished,14,21,16,7,1,9,0,CCTV,"Clubhouse, Library, Gym, Playground, Garden",East,Builder,Under Construction
794,Madhya Pradesh,Indore,AB Road,Apartment,1,371,10.47,2821.78,2004,Unfurnished,27,28,20,2,0,7,2,CCTV,"Playground, Swimming Pool",South,Builder,Sold
795,Uttar Pradesh,Noida,Sector 78,Studio,3,1262,74.92,5936.81,2011,Semi Furnished,6,22,13,7,7,3,0,Gated Community,"Playground, Library",North-East,Individual,Under Construction
796,Uttar Pradesh,Noida,Sector 137,Studio,2,817,59.75,7313.07,2002,Semi Furnished,18,29,22,9,2,9,2,CCTV,"Swimming Pool, Garden",North,Individual,Under Construction
797,Haryana,Gurgaon,Sohna Road,Apartment,5,2040,239.26,11728.35,2009,Fully Furnished,,20,15,0,7,6,0,CCTV,Garden,South,Individual,Available
798,Uttar Pradesh,Noida,Greater Noida West,House,4,1580,90.32,5716.46,2004,Fully Furnished,0,12,20,1,3,5,2,Gated Community,None,South-East,Builder,Under Construction
799,Uttar Pradesh,Lucknow,Mahanagar,Villa,2,1017,26.18,2573.9,1996,Semi Furnished,26,34,28,5,5,4,1,CCTV,"Gym, Swimming Pool, Garden, Playground, Library, Clubhouse",South-East,Agent,Available
800,Delhi,Delhi,Rohini,Apartment,5,2094,242.81,11595.73,2011,Fully Furnished,13,31,13,1,7,1,0,CCTV,"Gym, Playground, Library, Garden",East,Agent,Available
801,Maharashtra,Mumbai,Powai,Apartment,3,1217,235.73,19369.9,2009,Fully Furnished,1,15,15,9,3,7,0,CCTV,Gym,North-West,Builder,Available
802,Punjab,Chandigarh,Panchkula,Apartment,2,936,53.16,5679.54,2008,Semi Furnished,17,35,16,1,2,5,1,CCTV,"Gym, Swimming Pool, Playground, Clubhouse",North,Individual,Available
803,Maharashtra,Mumbai,Powai,Apartment,3,1219,211.72,17368.15,2016,Unfurnished,14,27,8,2,0,1,0,Gated Community,"Gym, Swimming Pool, Library, Clubhouse, Playground",South-East,Builder,Available
804,Madhya Pradesh,Bhopal,MP Nagar,Apartment,2,967,23.08,2387.07,1997,Unfurnished,4,8,27,2,1,4,2,Security Guard,None,North,Individual,Sold
805,Maharashtra,Mumbai,Andheri,House,3,1023,167.89,16411.97,2007,Fully Furnished,19,25,17,3,6,1,1,CCTV,"Swimming Pool, Playground, Gym, Clubhouse, Library, Garden",North,Agent,Available
806,Punjab,Chandigarh,Sector 34,Apartment,4,1919,101.66,5297.77,1999,Unfurnished,27,38,25,8,0,4,2,Security Guard,"Library, Clubhouse",West,Agent,Under Construction
807,Maharashtra,Pune,Hinjewadi,Villa,3,1225,94.59,7721.76,2004,Fully Furnished,13,32,20,8,2,7,1,Gated Community,"Gym, Library, Garden",West,Individual,Available
808,Uttar Pradesh,Lucknow,Aliganj,Apartment,2,628,17.73,2823.59,2012,Fully Furnished,28,47,12,1,0,9,2,Gated Community,"Garden, Playground",West,Agent,Under Construction
809,Uttar Pradesh,Noida,Sector 62,Apartment,2,912,49.51,5429.08,2001,Unfurnished,20,23,23,1,2,2,3,Security Guard,"Gym, Clubhouse, Library",South-East,Builder,Available
810,Uttar Pradesh,Noida,Sector 137,Apartment,1,594,34.48,5805.04,2016,Fully Furnished,21,21,8,5,6,4,0,Security Guard,"Garden, Swimming Pool, Playground, Clubhouse, Gym, Library",South-East,Agent,Available
811,Haryana,Gurgaon,Sohna Road,Apartment,2,646,50.59,7831.36,1995,Semi Furnished,23,29,29,4,0,1,2,Security Guard,None,North-West,Individual,Available
812,Delhi,Delhi,Vasant Kunj,House,1,329,24.26,7374.78,2013,Semi Furnished,10,12,11,4,6,6,0,Gated Community,"Library, Garden, Gym, Playground",North-East,Builder,Available
813,Delhi,Delhi,Rohini,House,3,1352,142.22,10519.28,2011,Fully Furnished,26,35,13,6,4,8,1,CCTV,"Gym, Clubhouse",North-East,Builder,Available
814,Maharashtra,Nagpur,Hingna,Apartment,3,1284,68.78,5356.39,1998,Unfurnished,21,32,26,8,3,3,3,CCTV,"Library, Clubhouse, Garden, Gym, Swimming Pool, Playground",North-East,Agent,Available
815,Haryana,Gurgaon,Golf Course Road,Villa,3,1133,123.3,10882.28,1999,Unfurnished,12,19,25,0,7,5,2,Security Guard,"Swimming Pool, Clubhouse",South-East,Builder,Sold
816,Uttar Pradesh,Noida,Sector 62,Studio,1,362,18.76,5183.0,1992,Fully Furnished,10,24,32,4,,1,2,CCTV,"Playground, Swimming Pool, Garden, Library, Clubhouse, Gym",,Builder,Under Construction
817,Tamil Nadu,Chennai,Porur,Villa,2,612,31.54,5154.1,1995,Fully Furnished,24,32,29,4,2,5,0,Gated Community,"Playground, Swimming Pool, Clubhouse, Gym, Garden, Library",South-East,Builder,Available
818,Punjab,Chandigarh,Panchkula,Apartment,2,651,32.46,4986.62,2015,Semi Furnished,29,34,9,4,3,1,3,CCTV,None,West,Agent,Available
819,Punjab,Chandigarh,Panchkula,Villa,1,300,16.23,5409.17,2003,Semi Furnished,20,35,21,8,4,5,1,Gated Community,"Library, Clubhouse, Playground, Gym, Swimming Pool",North,Agent,Under Construction
820,Maharashtra,Mumbai,Dadar,Apartment,2,747,101.64,13606.72,2008,Semi Furnished,21,27,16,5,5,9,0,Security Guard,"Library, Garden, Gym, Swimming Pool",South,Agent,Sold
821,Haryana,Gurgaon,DLF Phase,House,2,901,74.45,8262.82,2012,Semi Furnished,3,17,12,7,7,7,1,Security Guard,"Library, Clubhouse, Swimming Pool, Playground",West,Agent,Available
822,Karnataka,Bangalore,Indiranagar,Apartment,3,1160,71.56,6169.31,1994,Unfurnished,3,9,30,7,0,7,0,Security Guard,"Swimming Pool, Playground, Library, Clubhouse, Gym, Garden",South-East,Agent,Available
823,Delhi,Delhi,Rohini,Apartment,4,1767,233.45,13211.56,2004,Semi Furnished,20,27,20,5,0,9,3,None,"Library, Gym, Garden, Swimming Pool, Playground, Clubhouse",North-West,Individual,Sold
824,Maharashtra,Mumbai,Dadar,Apartment,2,703,123.82,17613.08,2019,Unfurnished,11,24,5,5,3,5,0,None,"Library, Playground",South-East,Agent,Sold
825,Karnataka,Mysore,Kuvempunagar,Apartment,3,976,40.72,4172.36,2022,Semi Furnished,,24,2,9,2,8,0,None,"Clubhouse, Garden, Gym, Library",North-East,Individual,Available
826,Maharashtra,Mumbai,Andheri,Studio,2,973,181.59,18662.63,2008,Unfurnished,16,31,16,7,5,7,2,None,Clubhouse,South,Builder,Available
827,Karnataka,Bangalore,Electronic City,Apartment,4,1655,151.44,9150.39,1994,Unfurnished,1,1,30,0,4,6,2,None,Clubhouse,South-East,Agent,Under Construction
828,Maharashtra,Pune,Baner,Apartment,2,984,53.37,5424.07,1998,Fully Furnished,28,32,26,8,2,6,0,CCTV,"Swimming Pool, Clubhouse, Library, Gym, Garden",North-East,Builder,Available
829,Tamil Nadu,Chennai,Adyar,Studio,2,749,39.2,5233.89,1996,Semi Furnished,19,20,28,8,6,7,1,Gated Community,"Library, Playground, Clubhouse, Swimming Pool",East,Builder,Under Construction
830,Karnataka,Mysore,Saraswathipuram,Apartment,1,638,20.4,3197.57,2013,Fully Furnished,22,33,11,7,0,3,3,Gated Community,"Clubhouse, Garden, Swimming Pool, Library",North,Builder,Available
